Name,Expected G,Avg Att,Avg Yds,Avg Y/A,Avg TD,Avg Tgt,Avg Rec,Avg RecYds,Avg Y/R,Avg RecTD,Avg Fmb,OPPG,SOS,OL RNK
Todd Gurley,16,291,1277,4.4,13,68,51,517,10.1,3,3,34.9,1,1
Le'Veon Bell,6,317,1377,4.3,9,103,81,687,8.5,2,2,28.8,0.8,13
David Johnson,16,225,923,4.1,11,86,57,606,10.6,3,5,14.6,-0.2,22
Ezekiel Elliott,16,348,1628,4.7,12,63,48,456,9.5,3,4,20.6,0.5,9
Alvin Kamara,16,201,1050,5.2,14,131,104,986,9.5,6,1,34.9,0.8,2
Leonard Fournette,14,330,1280,3.9,11,59,44,372,8.5,1,3,16.9,0,18
Kareem Hunt,16,272,1327,4.9,8,63,53,455,8.6,3,1,37,1.1,19
Melvin Gordon,16,280,1134,4.1,9,76,56,493,8.8,3,3,28.3,-0.4,7
Dalvin Cook,14,296,1416,4.8,8,64,44,360,8.2,0,4,22.9,0.1,31
Christian McCaffrey,16,204,944,4.6,5,149,116,956,8.2,8,4,25.3,0,8
Devonta Freeman,16,195,842,4.3,8,64,50,408,8,2,2,24.7,0.9,30
Jordan Howard,16,263,1134,4.3,7,38,25,197,7.9,0,2,28.7,-2,29
Joe Mixon,16,221,921,4.2,1,51,42,362,8.6,0,1,23.8,0.8,17
LeSean McCoy,14,259,1174,4.5,8,67,52,399,7.7,2,2,14.8,0.8,27
Alex Collins,16,159,671,4.2,6,30,22,167,7.6,0,4,24.8,0.1,12
Kenyan Drake,16,95,459,4.8,3,43,30,217,7.2,2,2,20.3,-2.2,14
Derrick Henry,16,154,636,4.1,6,18,13,131,10.1,0,1,18.4,0.3,26
Jay Ajayi,14,214,959,4.5,5,33,24,160,6.7,0,3,21.5,-0.7,15
Lamar Miller,16,207,905,4.4,5,41,32,243,7.6,1,1,25.2,-1,20
Mark Ingram,12,201,914,4.5,8,44,35,245,7,1,2,34.9,0.8,2
Marshawn Lynch,16,264,1122,4.3,9,42,31,239,7.7,1,3,18.3,0.6,11
Carlos Hyde,14,212,850,4,7,43,30,174,5.8,1,3,22.2,1.2,21
Dion Lewis,14,113,497,4.4,3,40,32,249,7.8,2,1,18.4,0.3,26
Rex Burkhead,14,52,213,4.1,2,26,20,170,8.5,1,1,27.6,-0.7,3
Tevin Coleman,16,151,632,4.2,5,40,28,309,11,3,2,24.7,0.9,30
Isaiah Crowell,16,185,800,4.3,6,33,24,194,8.1,0,1,20.2,-1.4,28
Chris Carson,16,235,1042,4.4,5,29,23,213,9.3,1,3,26.6,0.6,16
Tarik Cohen,16,92,391,4.3,2,85,64,578,9,3,5,28.7,-2,29
Marlon Mack,16,153,684,4.5,5,37,24,229,9.5,2,1,27.1,-1.9,6
Chris Thompson,13,62,312,5,2,66,50,424,8.5,3,3,19.4,0.1,25
Peyton Barber,16,123,478,3.9,3,17,13,79,6.1,0,1,26.5,0,32
Jamaal Williams,16,132,478,3.6,3,32,22,195,8.8,1,0,24.2,-0.6,5
James White,16,52,206,3.9,2,86,62,556,9,5,0,28,-0.6,3
Adrian Peterson,16,260,1170,4.5,10,40,29,241,4,1,5,19.2,-0.3,26
Duke Johnson,16,76,321,4.2,1,75,59,547,9.3,2,3,22.5,0.8,21
James Conner,10,212,957,4.5,5,27,20,180,9,0,3,28.2,0.3,15
Matt Breida,14,119,605,5,3,31,21,195,9.3,2,2,21.2,-0.7,10
Alfred Morris,16,211,904,4.3,5,15,10,76,7.6,0,3,21.2,-0.7,10
Aaron Jones,13,175,980,5.6,6,30,20,129,6.5,1,2,24.2,-0.7,5
