Name,GP-Col,Cmp-Col,PAtt-Col,Pct-Col,PYDS-Col,PY/A-Col,PTD-Col,Int-Col,Rating-Col,RuATT-Col,RuYDS-Col,RuY/A-Col,RuTD-Col,Height,Weight,40 Time,Vertical,Broad Jump,Wonderlic,GP,Cmp,PAtt,Pct,PYDS,PY/A,PTD,Int,Rating,RuATT,RuYDS,RuY/A,RuTD,FantPt
Matt Ryan,43,807,1347,59.9,9313,6.9,56,37,126.2,168,58,0.3,11,76,217,4.89,,,32,16,265,434,61.1,3440,7.9,16,11,87.7,55,104,1.89,1,198
Joe Flacco,28,596,942,63.2,7057,7.5,41,15,133.1,153,76,0.5,9,78,245,4.84,28.5,110,27,16,257,428,60,2971,6.9,14,12,80.3,52,180,3.46,2,187
Matthew Stafford,39,564,987,57.1,7731,7.8,51,33,133.3,141,213,1.5,6,75,220,4.81,30.5,107,38,10,201,377,53.3,2267,6,13,20,61,20,108,5.4,2,127
Mark Sanchez,27,313,487,64.3,3965,8.1,41,16,153.9,70,33,0.5,4,74,232,4.93,32.5,116,28,15,196,364,53.8,2444,6.7,12,29,63,36,106,2.9,3,138
Josh Freeman,35,680,1151,59.1,8078,7,44,34,124.7,214,343,1.6,20,78,240,4.9,33.5,119,27,10,158,290,54.5,1855,6.4,10,18,59.8,30,161,5.4,0,100
Sam Bradford,31,604,893,67.6,8403,9.4,88,16,175.6,77,36,0.5,5,76,224,,,,36,16,354,590,60,3512,6,18,15,76.5,27,63,2.3,1,195
Tim Tebow,55,661,995,66.4,9285,9.3,88,16,170.8,692,2947,4.3,57,75,236,4.71,38.5,109,22,9,41,82,50,654,5,5,3,72.7,43,227,5.3,6,99
Jimmy Clausen,35,695,1110,62.6,8148,7.3,60,27,137.2,175,-355,-2,5,74,210,,,,23,13,157,299,52.5,1558,5.2,3,9,58.4,23,57,2.5,0,62
Cam Newton,20,191,292,65.4,2908,10,30,7,178.2,285,1586,5.6,24,77,245,4.56,35,126,21,16,310,517,60,4051,7.8,21,17,84.5,126,706,5.6,14,375
Jake Locker,40,619,1147,54,7639,6.7,53,35,119.1,454,1939,4.3,29,75,231,4.59,35,120,20,5,34,66,51.5,542,8.2,4,0,99.4,8,56,7,1,49
Blaine Gabbert,31,568,933,60.9,6822,7.3,40,18,132.6,221,458,2.1,8,76,220,4.61,33.5,120,42,15,210,413,50.8,2214,5.4,12,11,65.4,48,98,2,0,124
Christian Ponder,35,596,965,61.8,6872,7.1,49,30,132.1,296,833,2.8,10,74,230,4.63,34,116,35,11,158,291,54.3,1853,6.4,13,13,70.1,28,219,7.8,0,122
