Name,GP-Col,ATT-Col,RuYDS-Col,Y/A-Col,RuTD-Col,REC-Col,RecYDS-Col,Y/R-Col,RecTD-Col,Height,Weight,40 Time,Vertical,Bench Press,Broad Jump,GP,ATT,RuYDS,Y/A,RuTD,REC,RecYDS,Y/R,RecTD,FantPt
Jamaal Charles,38,533,3328,6.2,36,49,539,11,3,71,199,4.38,30.5,,122,16,67,357,5.33,0,27,272,10.07,1,69
Darren McFadden,38,785,4590,5.8,41,46,365,7.9,2,73,210,4.33,33,,128,13,113,499,4.42,4,29,285,9.83,0,102
BenJarvus Green-Ellis,47,920,3869,4.2,25,39,316,8.1,1,71,220,4.6,30.5,24,114,9,74,275,3.72,5,3,37,12.33,0,61
Jonathan Stewart,36,516,2891,5.6,27,49,334,6.8,4,71,235,4.48,36.5,28,128,16,184,836,4.54,10,8,47,5.88,0,148
Chris Johnson,47,624,2982,4.8,32,125,1296,10.4,10,71,203,4.24,35,,130,15,251,1228,4.89,9,43,260,6.05,1,209
Matt Forte,43,833,4265,5.1,39,103,985,9.6,5,74,218,4.44,33,23,118,16,316,1238,3.92,8,63,477,7.57,4,244
Knowshon Moreno,26,498,2734,5.5,30,53,645,12.2,2,71,220,4.5,35.5,25,115,16,247,947,3.83,7,28,213,7.61,2,170
Beanie Wells,36,585,3382,5.8,30,15,84,5.6,0,73,235,4.59,33.5,25,128,16,176,793,4.51,7,12,143,11.92,0,136
LeSean McCoy,25,584,2816,4.8,35,65,549,8.4,1,71,210,4.5,29,17,107,16,155,637,4.11,4,40,308,7.7,0,121
Donald Brown,37,698,3800,5.4,33,48,276,5.8,2,70,207,4.46,41.5,,125,11,78,281,3.6,3,11,169,15.36,0,63
Jahvid Best,31,364,2668,7.3,29,62,533,8.6,6,70,199,4.35,,,,16,171,555,3.25,4,58,487,8.4,2,140
Ryan Mathews,31,534,3280,6.1,39,19,268,14.1,2,72,220,4.37,36,19,121,12,158,678,4.29,7,22,145,6.59,0,124
C.J. Spiller,52,606,3547,5.9,32,123,1420,11.5,11,71,200,4.27,,18,,14,74,283,3.82,0,24,157,6.54,1,50
Toby Gerhart,38,671,3522,5.2,44,39,395,10.1,0,72,235,4.5,38,22,118,15,81,322,3.98,1,21,167,7.95,0,55
Mark Ingram,39,572,3261,5.7,42,60,670,11.2,4,69,215,4.62,31.5,21,113,10,122,474,3.89,5,11,46,4.18,0,82
Roy Helu,47,578,3404,5.9,28,54,501,9.3,0,71,215,4.4,36.5,11,119,15,151,640,4.24,2,49,379,7.73,1,120
DeMarco Murray,50,759,3685,4.9,50,157,1571,10,13,73,220,4.37,34.5,21,130,13,164,897,5.47,2,26,183,7.04,0,120
Trent Richardson,38,540,3130,5.8,35,68,730,10.7,7,69,225,4.48,,25,,15,267,950,3.56,11,51,367,7.2,1,204
Alfred Morris,47,733,3529,4.8,27,30,300,10,4,70,219,4.67,35.5,16,117,16,335,1613,4.81,13,11,77,7,0,241
Doug Martin,51,617,3431,5.6,43,67,715,10.7,4,69,223,4.55,36,28,120,16,319,1454,4.56,11,49,472,9.63,1,263
Le'Veon Bell,40,671,3346,5,33,78,531,6.8,1,73,225,4.6,31.5,24,118,13,244,860,3.52,8,45,399,8.87,0,172
Eddie Lacy,38,355,2402,6.8,30,35,338,9.7,2,71,250,4.64,33.5,,,15,284,1178,4.15,11,35,257,7.34,0,208
Giovani Bernard,23,423,2481,5.9,25,92,852,9.3,6,69,205,4.53,33.5,19,122,16,170,695,4.09,5,56,514,9.18,3,167
Zac Stacy,45,581,3143,5.4,30,46,415,9,0,69,224,4.55,33,27,122,14,250,973,3.89,7,26,141,5.42,1,157
Andre Ellington,49,621,3436,5.5,33,59,505,8.6,2,69,199,4.61,34,,122,15,118,652,5.53,3,39,371,9.51,1,126
Jeremy Hill,24,345,2156,6.2,28,26,254,9.8,0,73,230,4.66,29,20,113,16,222,1124,5.06,9,27,215,7.96,0,184
Tre Mason,38,516,2979,5.8,32,19,249,13.1,1,68,207,4.5,38.5,,126,12,179,765,4.27,4,16,148,9.25,1,119
Isaiah Crowell,12,185,850,4.6,5,8,59,7.4,1,71,224,4.57,38,23,117,16,148,607,4.1,8,9,87,9.67,0,113
Carlos Hyde,41,523,3198,6.1,37,34,271,8,4,72,229,4.66,34.5,19,114,14,83,333,4.01,4,12,68,5.67,0,62
Todd Gurley,30,510,3285,6.4,36,65,615,9.5,6,73,224,,,17,,13,229,1106,4.83,10,21,188,8.95,0,189
David Johnson,50,866,4682,5.4,49,141,1734,12.3,14,73,224,4.5,41.5,25,127,16,125,581,4.65,8,36,457,12.69,4,174
Melvin Gordon,45,631,4915,7.8,45,22,228,10.4,4,73,215,4.52,35,19,126,14,184,641,3.48,0,33,192,5.82,0,75
Tevin Coleman,33,452,3219,7.1,28,54,383,7.1,0,73,210,4.4,,22,,12,87,392,4.51,1,2,14,7,0,41
Ameer Abdullah,53,813,4588,5.6,39,73,690,9.5,7,69,203,4.6,42.5,24,130,16,143,597,4.17,2,25,183,7.32,1,92
Thomas Rawls,28,283,1436,5.1,15,11,99,9,0,69,215,4.65,35.5,15,116,13,147,830,5.65,4,9,76,8.44,1,121
Ezekiel Elliott,35,592,3961,6.7,43,58,449,7.7,1,72,228,4.47,32.5,,118,15,322,1631,5.07,15,32,363,11.34,1,293
Jordan Howard,32,647,3681,5.7,24,24,261,10.9,3,72,224,4.59,34,16,122,15,252,1313,5.21,6,29,298,10.28,1,201
Derrick Henry,39,602,3591,6,42,17,285,16.8,3,75,247,4.54,37,22,130,15,110,490,4.45,5,13,137,10.54,0,93
T.J. Yeldon,39,576,3322,5.8,37,46,494,10.7,2,73,226,4.61,36,22,117,15,130,465,3.58,1,50,312,6.24,1,88
Alvin Kamara,24,210,1294,6.2,16,74,683,9.2,7,70,215,4.56,39.5,15,131,16,120,728,6.07,8,81,826,10.2,5,233
Leonard Fournette,32,616,3830,6.2,40,41,526,12.8,1,72,228,4.51,28.5,,,13,268,1040,3.88,9,36,302,8.39,1,194
Christian McCaffrey,37,632,3922,6.2,21,99,1206,12.2,10,71,205,4.48,37.5,10,121,16,117,435,3.72,2,80,651,8.14,5,149
Joe Mixon,25,300,2027,6.8,17,65,894,13.8,9,73,220,4.43,35,21,108,14,178,626,3.52,4,30,287,9.57,0,111
Dalvin Cook,38,687,4464,6.5,46,79,935,11.8,2,70,210,4.49,39.5,22,116,4,74,354,4.78,2,11,90,8.18,0,54
Matt Breida,37,542,3740,6.9,37,22,156,7.1,3,69,195,4.39,42,23,134,16,105,465,4.43,2,21,180,8.57,1,83
