Name,GP-Col,REC-Col,RecYDS-Col,Y/R-Col,RecTD-Col,Height,Weight,40 Time,Vertical,Bench Press,Broad Jump,GP,REC,RecYDS,Y/R,RecTD,FantPt
Dustin Keller,46,142,1882,13.3,16,75,242,4.55,38,26,131,16,48,535,11.15,3,72
John Carlson,47,100,1093,10.9,8,77,248,4.72,35.5,,,16,55,627,11.4,5,93
Jermichael Finley,26,76,947,12.5,5,77,236,4.82,,,116,14,6,74,12.33,1,13
Jared Cook,36,73,1107,15.2,7,77,254,4.49,41,23,123,14,9,74,8.22,0,7
Jermaine Gresham,41,111,1629,14.7,26,77,261,4.66,35,20,113,15,52,471,9.06,4,73
Rob Gronkowski,22,75,1197,16,16,78,268,4.68,33.5,23,119,16,42,546,13,10,115
Ed Dickson,52,124,1557,12.6,12,76,250,4.61,33,25,122,15,11,152,13.82,1,21
Tony Moeaki,48,76,953,12.5,11,75,252,4.69,34,18,113,15,47,556,11.83,3,74
Jimmy Graham,13,17,213,12.5,5,79,265,4.53,38.5,,120,15,31,356,11.48,5,66
Aaron Hernandez,40,111,1382,12.5,12,74,245,4.64,33,30,111,14,45,563,12.51,6,97
Kyle Rudolph,29,90,1032,11.5,8,78,265,4.83,34.5,19,113,15,26,249,9.58,3,43
Lance Kendricks,33,78,1160,14.9,8,75,243,4.75,34.5,25,122,15,28,352,12.57,0,34
Jordan Cameron,12,16,126,7.9,1,77,265,4.53,37.5,23,119,8,6,33,5.5,0,3
Virgil Green,40,72,939,13,11,75,249,4.64,42.5,23,130,15,3,24,8,0,2
Coby Fleener,51,96,1543,16.1,18,78,251,4.51,37,,116,12,26,281,10.81,2,40
Dwayne Allen,41,93,1079,11.6,12,75,255,4.89,32,27,110,16,45,521,11.58,3,71
Ladarius Green,43,149,2201,14.8,22,78,240,4.53,34,16,124,4,4,56,14,0,6
Tyler Eifert,37,140,1840,13.1,11,78,255,4.68,35.5,22,119,15,39,445,11.41,2,57
Zach Ertz,37,112,1434,12.8,15,77,250,4.76,30.5,24,111,16,36,469,13.03,4,73
Gavin Escobar,39,122,1646,13.5,17,78,250,4.84,32,,114,16,9,134,14.89,2,25
Vance McDonald,42,119,1504,12.6,15,76,267,4.69,33.5,31,119,15,8,119,14.88,0,12
Jordan Reed,36,79,945,12,6,74,245,4.72,,16,,9,45,499,11.09,3,72
Eric Ebron,34,112,1805,16.1,8,76,253,4.56,32,24,120,13,25,248,9.92,1,31
Austin Seferian-Jenkins,38,146,1840,12.6,21,77,262,4.56,37.5,20,,9,21,221,10.52,2,32
C.J. Fiedorowicz,51,91,899,9.9,10,77,265,4.76,31.5,25,116,15,4,28,7,1,9
Maxx Williams,23,61,986,16.2,13,76,252,4.78,34.5,17,117,14,32,268,8.38,1,33
Clive Walford,47,121,1753,14.5,14,76,250,4.79,35,20,120,16,28,329,11.75,3,53
Tyler Kroft,34,70,901,12.9,5,78,252,4.75,,17,120,16,11,129,11.73,1,19
Hunter Henry,35,116,1661,14.3,9,77,250,4.68,31.5,21,113,15,36,478,13.28,8,96
Austin Hooper,24,74,937,12.7,8,76,254,4.72,33,19,117,14,19,271,14.26,3,47
Nick Vannett,37,55,585,10.6,6,78,261,,30.5,17,111,9,3,32,10.67,0,3
O.J. Howard,46,114,1726,15.1,7,78,251,4.51,30,22,121,14,26,432,16.62,6,75
Evan Engram,41,162,2320,14.3,15,75,240,4.42,36,19,125,15,64,722,11.28,6,110
David Njoku,22,64,1060,16.6,9,76,246,4.78,,,,16,32,386,12.06,4,63
Gerald Everett,31,107,1584,14.8,13,75,240,4.62,37.5,22,126,16,16,244,15.25,2,36
Adam Shaheen,31,129,1755,13.6,26,78,270,4.79,32.5,24,121,13,12,127,10.58,3,31
Jonnu Smith,43,178,2001,11.2,18,75,248,4.62,38,22,127,16,18,157,8.72,2,28
George Kittle,25,48,737,15.4,10,76,250,4.52,35,18,132,15,43,515,11.98,2,64
Ricky Seals-Jones,34,123,1442,11.7,10,77,243,4.69,31,17,121,10,12,201,16.75,3,38
