Name,ESPN,Projected
Antonio Brown,211,219.4
DeAndre Hopkins,187,202.3
Odell Beckham Jr.,174.2,209.8
Julio Jones,197.1,209.4
Michael Thomas,177.7,204.1
Davante Adams,165.4,235.8
Keenan Allen,177.1,185.7
A.J. Green,176.6,103.4
Mike Evans,156.1,190.4
Tyreek Hill,151.3,251.3
Stefon Diggs,144.7,165.9
T.Y. Hilton,166,171.3
Adam Thielen,153.7,222
Amari Cooper,142.4,169.4
Doug Baldwin,144,66
JuJu Smith-Schuster,128.5,200.2
Larry Fitzgerald,138.1,108.7
Jarvis Landry,119.8,133.4
Brandin Cooks,132.6,163.6
Demaryius Thomas,139.1,110.1
Golden Tate,127,125
Josh Gordon,137.7,121.9
Allen Robinson,149.7,108.8
Chris Hogan,137.8,64
Marvin Jones,143.1,80.8
Alshon Jeffery,116.4,109.5
Corey Davis,125,130.3
Marquise Goodwin,130.9,77.4
Michael Crabtree,117.7,91.9
Emmanuel Sanders,121.1,129.22
Julian Edelman,100,164.8
Robert Woods,119.5,178.9
Will Fuller,118.6,74.3
Pierre Garcon,116.8,34.6
Sammy Watkins,127.2,128.7
Cooper Kupp,118.2,95.1
Devin Funchess,125.3,94.3
Nelson Agholor,108.1,82.5
Robby Anderson,122.1,84.2
Kenny Golladay,106.6,143.6
Antonio Callaway,47,82.4
Keke Coutee,41.4,47.7
Michael Gallup,71.3,57.1
Christian Kirk,77.2,80.5
Anthony Miller,86.9,95.7
D.J. Moore,81.2,111.5
Calvin Ridley,77.7,140.8
Dante Pettis,29.2,99.1
Tre'Quan Smith,40.1,84
Courtland Sutton,77.4,92.4
Tyler Lockett,106,168.6
