Name,G,XPM,XPA,XP%,FGM,FGA,FG%,0-29,30-39,40-49,50+,Team PPG,FantPt,Pts/G
Stephen Gostkowski,16,51,51,100,35,37,94.6,11,10,12,1,29.2,156,9.8
Cody Parkey,16,54,54,100,32,36,88.9,10,14,4,4,29.6,150,9.4
Adam Vinatieri,16,50,50,100,30,31,96.8,10,10,7,3,28.6,140,8.8
Mason Crosby,16,53,55,96.4,27,33,81.8,7,11,5,4,30.4,136,8.5
Stephen Hauschka,16,41,41,100,31,37,83.8,10,10,9,2,24.6,134,8.4
Dan Bailey,16,56,56,100,25,29,86.2,6,6,8,5,29.2,131,8.2
Randy Bullock,16,40,40,100,30,35,85.7,6,13,7,4,23.2,130,8.1
Justin Tucker,16,42,42,100,29,34,85.3,10,11,4,4,25.6,129,8.1
Matt Bryant,16,40,40,100,29,32,90.6,10,4,8,7,23.8,127,7.9
Graham Gano,16,34,34,100,29,35,82.9,7,12,9,1,21.2,121,7.6
Mike Nugent,16,39,39,100,26,33,78.8,6,10,10,0,22.8,117,7.3
Cairo Santos,16,38,38,100,25,30,83.3,10,6,7,1,22.1,113,7.1
Phil Dawson,16,33,33,100,25,31,80.6,6,8,5,6,19.1,108,6.8
Greg Zuerlein,16,34,35,97.1,24,30,80,6,10,2,5,20.2,107,6.7
Sebastian Janikowski,16,28,28,100,19,22,86.4,2,5,9,3,15.8,85,5.3
Ryan Succop,16,27,27,100,19,22,86.4,5,7,5,2,15.9,84,5.3
Matt Prater,11,21,21,100,21,26,80.8,8,4,6,3,20.1,84,7.6
Brandon McManus,15,41,41,100,9,13,69.2,5,2,2,0,30.1,68,4.5
Robbie Gould,12,28,29,96.6,9,12,75,4,2,3,0,19.9,56,4.7
Stephen Gostkowski,16,52,52,100,33,36,91.7,6,11,12,4,29.1,151,9.4
Graham Gano,16,56,59,94.9,30,36,83.3,10,4,13,2,31.2,149,9.3
Cairo Santos,16,39,41,95.1,30,37,81.1,7,10,9,4,25.3,131,8.2
Stephen Hauschka,16,40,44,90.9,29,31,93.5,9,7,7,6,26.4,131,8.2
Robbie Gould,16,28,29,96.6,33,39,84.6,8,10,7,7,20.9,128,8
Justin Tucker,16,29,29,100,33,40,82.5,10,9,10,4,20.5,128,8
Brandon McManus,16,35,36,97.2,30,35,85.7,12,8,5,5,22.2,126,7.9
Mike Nugent,16,48,49,98,23,28,82.1,6,5,10,2,26.2,118,7.4
Jason Myers,16,32,39,82.1,26,30,86.7,9,8,6,3,23.5,117,7.3
Dan Bailey,16,25,25,100,30,32,93.8,9,10,6,5,17.2,115,7.2
Dustin Hopkins,15,39,40,97.5,25,28,89.3,7,9,7,2,24.2,115,7.7
Chris Boswell,12,26,27,96.3,29,32,90.6,9,8,9,2,26.4,114,9.5
Josh Lambo,16,28,32,87.5,26,32,81.3,4,7,11,4,20,110,6.9
Adam Vinatieri,16,32,35,91.4,25,27,92.6,7,6,8,4,20.8,110,6.9
Mason Crosby,16,36,36,100,24,28,85.7,7,4,8,4,23,108,6.8
Matt Prater,16,36,39,92.3,22,24,91.7,3,8,6,5,22.4,105,6.6
Sebastian Janikowski,16,38,39,97.4,21,26,80.8,7,5,5,4,22.4,102,6.4
Phil Dawson,16,20,21,95.2,24,27,88.9,9,6,6,3,14.9,93,5.8
Greg Zuerlein,14,26,28,92.9,20,30,66.7,2,9,5,3,17.5,88,6.3
Ryan Succop,16,29,31,93.5,14,16,87.5,3,3,7,1,18.7,73,4.6
Matt Bryant,10,26,26,100,14,18,77.8,4,3,6,0,21.2,68,6.8
Matt Bryant,16,56,57,98.2,34,37,91.9,12,7,9,6,33.8,159,9.9
Justin Tucker,16,27,27,100,38,39,97.4,4,10,14,10,21.4,141,8.8
Dustin Hopkins,16,36,39,92.3,34,42,81,12,12,7,3,24.8,141,8.8
Stephen Hauschka,16,29,35,82.9,33,37,89.2,11,13,8,1,22.1,134,8.4
Wil Lutz,16,49,50,98,28,34,82.4,7,9,8,3,29.3,134,8.4
Cairo Santos,16,36,39,92.3,31,35,88.6,8,15,6,2,24.3,132,8.3
Stephen Gostkowski,16,46,49,93.9,27,32,84.4,9,7,9,2,27.6,130,8.1
Dan Bailey,16,46,46,100,27,32,84.4,9,8,7,3,26.3,127,7.9
Matt Prater,16,31,33,93.9,31,36,86.1,10,4,10,7,21.6,126,7.9
Sebastian Janikowski,16,37,39,94.9,29,35,82.9,9,6,10,3,26,126,7.9
Mason Crosby,16,44,47,93.6,26,30,86.7,6,13,5,1,27,125,7.8
Adam Vinatieri,16,44,44,100,27,31,87.1,3,7,10,7,25.7,125,7.8
Graham Gano,16,31,34,91.2,30,38,78.9,4,9,14,3,23.1,124,7.8
Josh Lambo,16,42,46,91.3,26,32,81.3,7,13,6,0,25.6,124,7.8
Brandon McManus,16,32,33,97,29,34,85.3,9,10,7,3,20.8,121,7.5
Jason Myers,16,29,32,90.6,27,34,79.4,7,3,10,7,19.9,113,7.1
Ryan Succop,16,39,41,95.1,22,24,91.7,4,6,8,3,23.8,107,6.7
Chris Boswell,15,36,36,100,21,25,84,2,8,11,0,24.9,99,6.6
Mike Nugent,13,23,29,79.3,23,29,79.3,9,9,5,0,20.3,98,7.5
Phil Dawson,16,33,34,97.1,18,21,85.7,4,6,7,1,19.3,88,5.5
Cody Parkey,14,20,21,95.2,20,25,80,6,6,7,1,22.9,81,5.8
Greg Zuerlein,16,23,23,100,19,22,86.4,5,9,3,2,14,80,5
Robbie Gould,10,20,23,87,10,10,100,3,3,4,0,19.4,53,5.3
Greg Zuerlein,14,44,46,95.7,38,40,95,8,11,12,6,29.9,160,11.4
Stephen Gostkowski,16,45,47,95.7,37,40,92.5,16,9,8,4,28.6,158,9.9
Robbie Gould,16,28,30,93.3,39,41,95.1,7,11,17,4,20.7,147,9.2
Chris Boswell,16,37,39,94.9,35,38,92.1,10,12,9,4,25.4,144,9
Wil Lutz,16,47,50,94,31,36,86.1,10,4,13,4,28,143,9
Harrison Butker,13,28,28,100,38,42,90.5,8,16,10,4,25.9,142,10.9
Justin Tucker,16,39,39,100,34,37,91.9,7,11,11,5,24.7,141,8.8
Ryan Succop,16,31,33,93.9,35,42,83.3,10,7,16,2,20.9,138,8.6
Matt Bryant,16,35,35,100,34,39,87.2,6,10,9,8,22.1,137,8.6
Matt Prater,16,40,41,97.6,30,35,85.7,4,10,7,7,25.6,131,8.2
Graham Gano,16,34,37,91.9,29,30,96.7,8,11,10,0,22.7,124,7.8
Phil Dawson,16,23,26,88.5,32,40,80,7,10,10,4,18.4,122,7.6
Jake Elliott,15,39,42,92.9,26,31,83.9,5,4,12,5,28.6,120,8
Stephen Hauschka,16,29,29,100,29,33,87.9,6,9,7,7,18.9,116,7.3
Adam Vinatieri,15,22,24,91.7,29,34,85.3,11,7,6,5,16.4,111,7.4
Brandon McManus,16,27,27,100,24,32,75,6,11,4,3,18.1,99,6.2
Ka'imi Fairbairn,16,32,35,91.4,20,25,80,3,8,6,3,21.1,95,5.9
Cody Parkey,16,26,29,89.7,21,23,91.3,6,8,6,1,17.6,92,5.8
Randy Bullock,15,31,33,93.9,18,20,90,6,7,4,1,18.1,87,5.8
Giorgio Tavecchio,16,33,34,97.1,16,21,76.2,5,5,3,3,18.8,82,5.1
Josh Lambo,10,22,24,91.7,19,20,95,2,11,4,2,26.1,81,8.1
Mason Crosby,16,33,35,94.3,15,19,78.9,8,2,4,1,20,80,5
Aldrick Rosas,16,20,23,87,18,25,72,8,3,4,3,15.4,77,4.8
Dan Bailey,12,26,28,92.9,15,20,75,3,4,4,3,22.1,73,6.1
Zane Gonzalez,16,25,26,96.2,15,20,75,5,4,4,2,14.6,71,4.4
Dustin Hopkins,8,18,19,94.7,14,17,82.4,7,2,4,0,21.4,61,7.6
