Name,ESPN,Projected
Stephen Gostkowski,146,148
Greg Zuerlein,148,131
Justin Tucker,138,154
Wil Lutz,131,165
Matt Bryant,140,105
Harrison Butker,135,154
Jake Elliott,133,113
Chris Boswell,148,98
Robbie Gould,136,134
Matt Prater,139,129
Mason Crosby,123,148
Adam Vinatieri,127,122
Graham Gano,131,103
Brandon McManus,114,109
Ryan Succop,126,122
Jason Myers,105,166
Ka'imi Fairbairn,113,165
Brett Maher,118,151
Aldrick Rosas,116,149
Cody Parkey,122,134
Sebastian Janikowski,119,128
Dustin Hopkins,123,118
Josh Lambo,123,107
