Name,ESPN,FantPt
Aaron Rodgers,313.3,313.6
Alex Smith,286,138
Andrew Luck,284.4,336
Andy Dalton,252.5,174.5
Baker Mayfield,45.5,231.6
Ben Roethlisberger,274.1,352
Cam Newton,299.1,342.4
Carson Wentz,278.8,246.5
Dak Prescott,250.4,283.2
Derek Carr,245.8,241.6
Deshaun Watson,274.6,308.8
Drew Brees,269.3,347.2
Eli Manning,237.7,241.6
Jameis Winston,227.4,201.6
Jared Goff,256,318.4
Jimmy Garoppolo,261.8,48
Josh Allen,144.2,181.6
Josh Rosen,129.3,128.1
Kirk Cousins,271.6,291.2
Marcus Mariota,266.8,207.8
Matt Ryan,270.4,345.6
Matthew Stafford,273.7,217.6
Mitchell Trubisky,260.7,282.3
Patrick Mahomes,273,435.2
Philip Rivers,271.3,315.2
Russell Wilson,289.3,300.8
Sam Darnold,207.8,147.3
Tom Brady,313.8,289.6
Tyrod Taylor,240.4,41.4
