Name,Projected,ESPN
Todd Gurley,355.3,258.2
Le'Veon Bell,0,219
David Johnson,195.7,247.1
Ezekiel Elliott,281.1,254.3
Alvin Kamara,288.5,218.1
Leonard Fournette,118.4,221.4
Kareem Hunt,204.2,202.7
Melvin Gordon,264.1,204.1
Dalvin Cook,92,208.5
Christian McCaffrey,293.8,188.4
Devonta Freeman,9.1,191
Jordan Howard,135.5,173.8
Joe Mixon,199.7,163
LeSean McCoy,101.1,195.7
Alex Collins,93.6,160.8
Kenyan Drake,166,156.9
Derrick Henry,161.6,158.2
Jay Ajayi,38.4,146.8
Lamar Miller,169,139.7
Mark Ingram,132.7,139.2
Marshawn Lynch,64,145.8
Carlos Hyde,102.3,129.8
Dion Lewis,113.8,125.4
Rex Burkhead,26.1,135.2
Tevin Coleman,153.4,127.1
Isaiah Crowell,147.3,131.7
Chris Carson,147.6,115.3
Tarik Cohen,177.6,106.2
Marlon Mack,147.5,108.5
Chris Thompson,63,101.3
Jamaal Williams,59.2,110.1
James White,198.9,91.9
Adrian Peterson,183.6,125.8
Duke Johnson,87,106.6
James Conner,251.5,57
Matt Breida,154.1,115
Alfred Morris,55.4,136.2
Aaron Jones,184,80.6
Peyton Barber,126.8,117.3
Saquon Barkley,314.2,220.9
Rashaad Penny,76,116.3
Sony Michel,131.9,90.1
Nick Chubb,185.8,50.3
Ronald Jones II,22.1,99.2
Kerryon Johnson,139.6,120.8
Royce Freeman,94.3,168.3
