Name,GS,Tgt,Rec,Yds,Y/R,TD,Fmb,QBs Rat,OPPG,SOS,FantPt
Antonio Brown,16,181,129,1698,13.16,13,2,103.3,27.2,-1,252
Jordy Nelson,16,151,98,1519,15.5,13,0,112.2,30.4,1,230
Demaryius Thomas,16,184,111,1619,14.59,11,0,101.5,30.1,1,230
Dez Bryant,16,136,88,1320,15,16,1,113.2,29.2,-0.3,228
Odell Beckham,11,130,91,1305,14.34,12,1,92.1,23.8,-0.3,204
Randall Cobb,16,127,91,1287,14.14,12,4,112.2,30.4,1,202
Emmanuel Sanders,16,141,101,1404,13.9,9,1,101.5,30.1,1,201
Julio Jones,15,163,104,1593,15.32,6,2,93.9,23.8,-0.2,193
Jeremy Maclin,16,143,85,1318,15.51,10,0,81.4,29.6,0.3,192
T.Y. Hilton,15,131,82,1345,16.4,7,3,96.5,28.6,0.8,179
Mike Evans,15,122,68,1051,15.46,12,0,70.5,17.3,-0.4,177
Alshon Jeffery,16,145,85,1133,13.33,10,1,88.6,19.9,0.5,177
Golden Tate,16,144,99,1331,13.44,4,1,85.7,20.1,0.1,162
Calvin Johnson,13,128,71,1077,15.17,8,0,85.7,20.1,0.1,156
DeAndre Hopkins,16,127,76,1210,15.92,6,2,95.3,23.2,-1.8,155
Antonio Brown,16,193,136,1834,13.49,10,3,94.5,26.4,2.5,250
Julio Jones,16,203,136,1871,13.76,8,3,89,21.2,-2.3,235
Brandon Marshall,16,173,109,1502,13.78,14,3,92.3,20.9,1,230
Allen Robinson,16,151,80,1400,17.5,14,0,88.2,23.5,-1.6,224
Odell Beckham,15,158,96,1450,15.1,13,2,93.6,26.2,-1,223
DeAndre Hopkins,16,192,111,1521,13.7,11,1,91.4,21.2,-0.8,220
Doug Baldwin,16,103,78,1069,13.71,14,1,110.1,26.4,2.1,191
A.J. Green,16,132,86,1297,15.08,10,1,106.2,26.2,1.2,188
Calvin Johnson,16,149,88,1214,13.8,9,1,97,22.4,1,173
Eric Decker,13,132,80,1027,12.84,12,1,88,24.2,-1.4,173
Larry Fitzgerald,16,145,109,1215,11.15,9,2,104.6,30.6,1.4,172
Brandin Cooks,13,129,84,1138,13.55,9,1,101,25.5,-1.9,170
Demaryius Thomas,16,177,105,1304,12.42,6,2,67.9,22.2,2,164
Allen Hurns,15,105,64,1031,16.11,10,2,88.2,23.5,-1.6,163
Jarvis Landry,14,166,110,1157,10.52,4,1,88.7,19.4,-0.5,159
Mike Evans,16,173,96,1321,13.76,12,0,86.1,22.1,0.8,208
Jordy Nelson,16,152,97,1257,12.96,14,1,104.2,27,0.4,208
Antonio Brown,15,154,106,1284,12.11,12,0,95.4,24.9,1.2,207
Odell Beckham,16,169,101,1367,13.53,10,3,86,19.4,-0.1,196
T.Y. Hilton,16,155,91,1448,15.91,6,0,96.4,25.7,-0.9,185
Julio Jones,14,129,83,1409,16.98,6,0,117.1,33.8,1.3,179
Davante Adams,15,121,75,997,13.29,12,2,104.2,27,0.4,174
Brandin Cooks,12,117,78,1173,15.04,8,1,101.7,29.3,0.7,168
Michael Thomas,12,121,92,1137,12.36,9,2,101.7,29.3,0.7,164
Doug Baldwin,15,125,94,1128,12,7,1,92.6,22.1,0.1,162
Michael Crabtree,16,145,89,1003,11.27,8,2,96.7,26,1.2,152
Amari Cooper,14,132,83,1153,13.89,5,2,96.7,26,1.2,151
Rishard Matthews,10,108,65,945,14.54,9,1,95.6,23.8,-1.2,149
Tyrell Williams,12,119,69,1059,15.35,7,0,87.9,25.6,0.4,148
DeAndre Hopkins,15,174,96,1378,14.35,13,1,103,21.1,-0.2,216
Antonio Brown,14,163,101,1533,15.18,9,4,93.4,25.4,-0.1,211
Keenan Allen,15,159,102,1393,13.66,6,1,96,22.2,-0.4,176
Marvin Jones,16,107,61,1101,18.05,9,0,99.3,25.6,0.2,166
Julio Jones,16,148,88,1444,16.41,3,0,91.4,22.1,1.7,164
Tyreek Hill,13,105,75,1183,15.77,7,2,104.7,25.9,-0.4,164
Brandin Cooks,15,114,65,1082,16.65,7,0,102.8,28.6,-0.3,156
Michael Thomas,14,149,104,1245,11.97,5,0,103.9,28,0.9,155
Larry Fitzgerald,16,161,109,1156,10.61,6,1,84.4,18.4,-0.3,152
A.J. Green,16,143,75,1078,14.37,8,2,86.6,18.1,-0.9,152
Davante Adams,14,117,74,885,11.96,10,0,97.2,20,0.9,151
Adam Thielen,16,142,91,1276,14.02,4,3,98.3,23.9,0.9,149
Jarvis Landry,16,161,112,987,8.81,9,4,80.8,17.6,0.3,148
Doug Baldwin,16,116,75,991,13.21,8,0,95.4,22.9,-0.1,148
Alshon Jeffery,16,120,57,789,13.84,9,0,100.6,28.6,0.7,141
